"SECONDS";"PID";"VALUE";"UNITS";
"80990.729919";"Absolute throttle position B";"14";"%";
"80991.043919";"Absolute pedal position D";"14";"%";
"80991.173919";"OBD Module Voltage";"14.4";"V";
"80991.527919";"Calculated engine load value";"15.6862745098039";"%";
"80991.717919";"Engine coolant temperature";"24";"℃";
"80991.915919";"Short term fuel % trim - Bank 1";"0";"%";
"80992.041919";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"80992.369919";"Calculated boost";"-10.9249676153938";"psi";
"80992.369919";"Intake manifold absolute pressure";"3.770981188182";"psi";
"80992.522919";"Calculated instant fuel rate";"1.68531817074462";"L/h";
"80992.522919";"Engine RPM";"1558";"rpm";
"80992.522919";"Engine RPM x1000";"1.6";"rpm";
"80992.522919";"Instant engine power (based on fuel consumption)";"6.59329821177364";"hp";
"80992.711919";"Calculated instant fuel consumption";"15.3210742794965";"L/100km";
"80992.711919";"Vehicle speed";"11";"km/h";
"80992.838919";"Timing advance";"11";"°";
"80992.973919";"Intake air temperature";"13";"℃";
"80993.149919";"Fuel economizer (based on fuel system status and throttle position)";"0";"";
"80993.149919";"Throttle position";"13.7254901960784";"%";
"80993.296919";"Oxygen sensor 1 Bank 1 Short term fuel trim";"10.15625";"%";
"80993.296919";"Oxygen sensor 1 Bank 1 Voltage";"0.015";"V";
"80993.652919";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";
"80993.652919";"Oxygen sensor 2 Bank 1 Voltage";"0.015";"V";
"80994.052919";"Distance traveled with MIL on";"0";"km";
"80994.177919";"Commanded evaporative purge";"0";"%";
"80994.324919";"# warm-ups since codes cleared";"0";"";
"80994.453919";"Distance traveled since codes cleared";"30654";"km";
"80994.602919";"Catalyst temperature Bank 1 Sensor 1";"460";"℃";
"80994.750919";"Catalyst temperature Bank 1 Sensor 2";"151";"℃";
"80995.204919";"Control module voltage";"14.2";"V";
"80995.360919";"Absolute load value";"70.9803921568627";"%";
"80995.551919";"Fuel/Air commanded equivalence ratio";"14.58736188";"";
