"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"40302.16394";"Absolute throttle position B";"15";"%";"40.9687056";"29.0912631";
"40302.44894";"Absolute pedal position D";"14";"%";"40.9687056";"29.0912631";
"40302.64794";"OBD Module Voltage";"14.4";"V";"40.9687056";"29.0912631";
"40303.04494";"Calculated engine load value";"41.9607843137255";"%";"40.9687056";"29.0912631";
"40303.18294";"Engine coolant temperature";"17";"℃";"40.9687056";"29.0912631";
"40303.40394";"Short term fuel % trim - Bank 1";"13.28125";"%";"40.9687056";"29.0912631";
"40303.59294";"Long term fuel % trim - Bank 1";"-10.15625";"%";"40.9687056";"29.0912631";
"40303.75094";"Calculated boost";"-7.15398642720613";"psi";"40.9687056";"29.0912631";
"40303.75094";"Intake manifold absolute pressure";"7.541962376364";"psi";"40.9687056";"29.0912631";
"40304.00294";"Calculated instant fuel rate";"2.37761831790544";"L/h";"40.9687056";"29.0912631";
"40304.00294";"Engine RPM";"1099";"rpm";"40.9687056";"29.0912631";
"40304.00294";"Engine RPM x1000";"1.1";"rpm";"40.9687056";"29.0912631";
"40304.00294";"Instant engine power (based on fuel consumption)";"9.30171339504394";"hp";"40.9687056";"29.0912631";
"40304.16794";"Calculated instant fuel consumption";"237.761831790544";"L/100km";"40.9687056";"29.0912631";
"40304.16794";"Vehicle speed";"1";"km/h";"40.9687056";"29.0912631";
"40304.33694";"Timing advance";"-7";"°";"40.9687056";"29.0912631";
"40304.52794";"Intake air temperature";"10";"℃";"40.9687056";"29.0912631";
"40304.96994";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"40.9687056";"29.0912631";
"40304.96994";"Throttle position";"15.2941176470588";"%";"40.9687056";"29.0912631";
"40305.14494";"Oxygen sensor 1 Bank 1 Short term fuel trim";"9.375";"%";"40.9687056";"29.0912631";
"40305.14494";"Oxygen sensor 1 Bank 1 Voltage";"0.675";"V";"40.9687056";"29.0912631";
"40305.35994";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"40.9687056";"29.0912631";
"40305.35994";"Oxygen sensor 2 Bank 1 Voltage";"0.01";"V";"40.9687056";"29.0912631";
"40305.74594";"Distance traveled with MIL on";"0";"km";"40.9687056";"29.0912631";
"40305.94194";"Commanded evaporative purge";"0";"%";"40.9687056";"29.0912631";
"40306.09794";"# warm-ups since codes cleared";"0";"";"40.9687056";"29.0912631";
"40306.22894";"Distance traveled since codes cleared";"32387";"km";"40.9687056";"29.0912631";
"40306.38994";"Catalyst temperature Bank 1 Sensor 1";"361";"℃";"40.9687056";"29.0912631";
"40306.57094";"Catalyst temperature Bank 1 Sensor 2";"89";"℃";"40.9687056";"29.0912631";
"40306.84794";"Control module voltage";"14.1";"V";"40.9687056";"29.0912631";
"40307.01394";"Absolute load value";"36.8627450980392";"%";"40.9687056";"29.0912631";
"40307.18894";"Fuel/Air commanded equivalence ratio";"14.63112084";"";"40.9687056";"29.0912631";
"40307.31994";"Relative throttle position";"7";"%";"40.9687056";"29.0912631";
"40307.44694";"Ambient air temperature";"8";"℃";"40.9687056";"29.0912631";
"40307.56594";"Absolute pedal position E";"24";"%";"40.9687056";"29.0912631";
"40307.71794";"Commanded throttle actuator";"7";"%";"40.9687056";"29.0912631";
"40308.01994";"Long term secondary oxygen sensor trim Bank 1";"0";"%";"40.9687056";"29.0912631";
"40308.15594";"Absolute throttle position B";"18";"%";"40.9687056";"29.0912631";
"40308.29994";"Absolute pedal position D";"19";"%";"40.9687056";"29.0912631";
"40308.44094";"OBD Module Voltage";"14.4";"V";"40.9687056";"29.0912631";
"40308.87094";"Calculated engine load value";"49.8039215686275";"%";"40.9687056";"29.0912631";
"40309.01994";"Short term fuel % trim - Bank 1";"-3.90625";"%";"40.9687056";"29.0912631";
"40309.21294";"Long term fuel % trim - Bank 1";"-7.8125";"%";"40.9687056";"29.0912631";
"40309.33494";"Calculated boost";"-7.44406190322057";"psi";"40.9687056";"29.0912631";
"40309.33494";"Intake manifold absolute pressure";"7.25188690035";"psi";"40.9687056";"29.0912631";
"40309.48894";"Calculated instant fuel rate";"1.69361530149203";"L/h";"40.9687056";"29.0912631";
"40309.48894";"Engine RPM";"900";"rpm";"40.9687056";"29.0912631";
"40309.48894";"Engine RPM x1000";"0.9";"rpm";"40.9687056";"29.0912631";
"40309.48894";"Fuel used";"0.00257199801024602";"L";"40.9687056";"29.0912631";
"40309.48894";"Fuel used (total)";"50.6168613571297";"L";"40.9687056";"29.0912631";
"40309.48894";"Fuel used price";"0.00259771799034848";"$";"40.9687056";"29.0912631";
"40309.48894";"Fuel used price (total)";"51.12";"$";"40.9687056";"29.0912631";
"40309.48894";"Instant engine power (based on fuel consumption)";"6.6257582292762";"hp";"40.9687056";"29.0912631";
"40309.89494";"Intake air temperature";"10";"℃";"40.9687056";"29.0912631";
"40310.04394";"Calculated instant fuel consumption";"28.2269216915338";"L/100km";"40.9687056";"29.0912631";
"40310.04394";"Distance travelled";"0.009786368";"km";"40.9687056";"29.0912631";
"40310.04394";"Distance travelled (total)";"1611.19780770538";"km";"40.9687056";"29.0912631";
"40310.04394";"Vehicle speed";"6";"km/h";"40.9687056";"29.0912631";
"40310.20294";"Timing advance";"-3";"°";"40.9687056";"29.0912631";
"40310.38994";"Intake air temperature";"10";"℃";"40.9687056";"29.0912631";
"40310.52694";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"40.9687056";"29.0912631";
"40310.52694";"Throttle position";"15.6862745098039";"%";"40.9687056";"29.0912631";
"40310.67294";"Oxygen sensor 1 Bank 1 Short term fuel trim";"13.28125";"%";"40.9687056";"29.0912631";
"40310.67294";"Oxygen sensor 1 Bank 1 Voltage";"0.03";"V";"40.9687056";"29.0912631";
"40310.86494";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"40.9687056";"29.0912631";
"40310.86494";"Oxygen sensor 2 Bank 1 Voltage";"0.005";"V";"40.9687056";"29.0912631";
"40311.31994";"Distance traveled with MIL on";"0";"km";"40.9687056";"29.0912631";
"40311.51094";"Commanded evaporative purge";"0";"%";"40.9687056";"29.0912631";
"40311.70094";"# warm-ups since codes cleared";"0";"";"40.9687056";"29.0912631";
"40311.85894";"Distance traveled since codes cleared";"32387";"km";"40.9687056";"29.0912631";
"40311.98294";"Catalyst temperature Bank 1 Sensor 1";"401";"℃";"40.9687056";"29.0912631";
"40312.15094";"Catalyst temperature Bank 1 Sensor 2";"103";"℃";"40.9687056";"29.0912631";
"40312.45394";"Control module voltage";"14.1";"V";"40.9687056";"29.0912631";
"40312.61294";"Absolute load value";"36.4705882352941";"%";"40.9687056";"29.0912631";
"40312.77494";"Fuel/Air commanded equivalence ratio";"14.63112084";"";"40.9687056";"29.0912631";
"40312.98294";"Relative throttle position";"9";"%";"40.9687056";"29.0912631";
"40313.10594";"Ambient air temperature";"8";"℃";"40.9687056";"29.0912631";
"40313.23394";"Absolute pedal position E";"18";"%";"40.9687056";"29.0912631";
"40313.42594";"Commanded throttle actuator";"4";"%";"40.9687056";"29.0912631";
"40313.73294";"Long term secondary oxygen sensor trim Bank 1";"0";"%";"40.9687056";"29.0912631";
"40313.89294";"Absolute throttle position B";"15";"%";"40.9687056";"29.0912631";
"40314.05894";"Absolute pedal position D";"14";"%";"40.9687056";"29.0912631";
"40314.19294";"OBD Module Voltage";"13.9";"V";"40.9687056";"29.0912631";
"40314.57494";"Calculated engine load value";"33.7254901960784";"%";"40.9687056";"29.0912631";
"40314.75294";"Engine coolant temperature";"20";"℃";"40.9687056";"29.0912631";
"40314.94894";"Short term fuel % trim - Bank 1";"26.5625";"%";"40.9687056";"29.0912631";
"40315.10194";"Long term fuel % trim - Bank 1";"-9.375";"%";"40.9687056";"29.0912631";
"40315.23294";"Calculated boost";"-9.03947702129999";"psi";"40.9687056";"29.0912631";
"40315.23294";"Intake manifold absolute pressure";"5.656471782273";"psi";"40.9687056";"29.0912631";
"40315.41794";"Calculated instant fuel rate";"1.30193853610031";"L/h";"40.9687056";"29.0912631";
"40315.41794";"Engine RPM";"887";"rpm";"40.9687056";"29.0912631";
"40315.41794";"Engine RPM x1000";"0.9";"rpm";"40.9687056";"29.0912631";
"40315.41794";"Fuel used";"0.00471469058824748";"L";"40.9687056";"29.0912631";
"40315.41794";"Fuel used (total)";"50.6190040497077";"L";"40.9687056";"29.0912631";
"40315.41794";"Fuel used price";"0.00476183749412995";"$";"40.9687056";"29.0912631";
"40315.41794";"Fuel used price (total)";"51.12";"$";"40.9687056";"29.0912631";
"40315.41794";"Instant engine power (based on fuel consumption)";"5.09344120945226";"hp";"40.9687056";"29.0912631";
"40315.60794";"Average speed";"15.3340791669612";"km/h";"40.9687056";"29.0912631";
"40315.60794";"Calculated instant fuel consumption";"14.4659837344479";"L/100km";"40.9687056";"29.0912631";
"40315.60794";"Distance travelled";"0.0236984245";"km";"40.9687056";"29.0912631";
"40315.60794";"Distance travelled (total)";"1611.21171976188";"km";"40.9687056";"29.0912631";
"40315.60794";"Vehicle speed";"9";"km/h";"40.9687056";"29.0912631";
"40315.74294";"Timing advance";"7";"°";"40.9687056";"29.0912631";
"40315.87394";"Intake air temperature";"10";"℃";"40.9687056";"29.0912631";
"40316.04794";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"40.9687056";"29.0912631";
"40316.04794";"Throttle position";"14.9019607843137";"%";"40.9687056";"29.0912631";
"40316.23394";"Oxygen sensor 1 Bank 1 Short term fuel trim";"7.8125";"%";"40.9687056";"29.0912631";
"40316.23394";"Oxygen sensor 1 Bank 1 Voltage";"0.87";"V";"40.9687056";"29.0912631";
"40316.38394";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"40.9687056";"29.0912631";
"40316.38394";"Oxygen sensor 2 Bank 1 Voltage";"0.005";"V";"40.9687056";"29.0912631";
"40316.87994";"Distance traveled with MIL on";"0";"km";"40.9687056";"29.0912631";
"40317.05194";"Commanded evaporative purge";"0";"%";"40.9687056";"29.0912631";
"40317.19494";"# warm-ups since codes cleared";"0";"";"40.9687056";"29.0912631";
"40317.41994";"Distance traveled since codes cleared";"32387";"km";"40.9687056";"29.0912631";
"40317.57194";"Catalyst temperature Bank 1 Sensor 1";"426";"℃";"40.9687056";"29.0912631";
"40317.75594";"Catalyst temperature Bank 1 Sensor 2";"117";"℃";"40.9687056";"29.0912631";
"40318.16394";"Control module voltage";"14.4";"V";"40.9687056";"29.0912631";
